Vehicles with similar trajectories (Hausdorff distance < 100.0 m):
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fa-37ae-7392-a089-f76e4bac6b55: Hausdorff distance = 88.3 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fa-3b22-7622-bf1e-af6b36e35473: Hausdorff distance = 67.7 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fa-50a1-7ab1-beb9-2e7ce6834bbf: Hausdorff distance = 50.5 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fa-5667-7182-8eee-929c23a7d4ec: Hausdorff distance = 76.8 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fa-8782-7ec2-8005-cf3f267fe106: Hausdorff distance = 69.6 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fa-a3bb-7fb0-89e0-3b32aeb5e904: Hausdorff distance = 30.0 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fa-ab9c-78c2-9ee4-2aa17b3d6394: Hausdorff distance = 27.7 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fa-c65b-7ff2-86a0-709d5bafe477: Hausdorff distance = 89.1 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fa-e830-7cb3-9dca-03ce328fc342: Hausdorff distance = 32.4 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fa-e830-7cb3-9dca-03d31c51b8be: Hausdorff distance = 69.8 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fa-f627-7a23-a7cf-e4b00f43d6df: Hausdorff distance = 18.6 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fa-f8bc-75b0-9680-ee63d2c4bbc8: Hausdorff distance = 70.5 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-01ea-7543-801d-2b808ad249ab: Hausdorff distance = 30.6 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-020f-7401-a4b6-c2d7148077fb: Hausdorff distance = 71.4 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-072e-7900-b968-f0f9793e3a08: Hausdorff distance = 70.8 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-08b7-7c41-95af-9146a1936af6: Hausdorff distance = 80.8 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-0df6-7112-87e1-004a8647d30f: Hausdorff distance = 48.4 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-141f-7c32-ba1f-05448ec27564: Hausdorff distance = 43.5 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-17b2-7f41-9d26-72ef6fcb3d3f: Hausdorff distance = 57.2 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-2cbf-7e42-a4d3-24e16e0bdcbf: Hausdorff distance = 71.3 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-6d0f-7211-b75e-6648525c667d: Hausdorff distance = 72.9 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-76bd-71a3-9825-087b40a99587: Hausdorff distance = 28.2 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-7dd5-7ed3-a325-de5fa3ecd3f0: Hausdorff distance = 37.7 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-80d9-7df0-be45-239f584719b6: Hausdorff distance = 33.5 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-80e8-7593-b54b-5f81ef2c5c3d: Hausdorff distance = 29.1 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-8505-7723-ade2-98dd335b1ec1: Hausdorff distance = 7.3 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-8629-74a2-bba0-1720752abad3: Hausdorff distance = 57.9 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-e390-7ed2-a9aa-067aead1d486: Hausdorff distance = 68.6 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fb-fd9b-7a60-8a85-4ba4f7dcff12: Hausdorff distance = 33.5 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fc-00c5-7b50-8b40-6f401c35634b: Hausdorff distance = 34.6 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fc-262d-7401-a63d-0b0d37e41abc: Hausdorff distance = 81.1 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fc-62f3-7712-8851-73635a228fe3: Hausdorff distance = 59.5 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fc-6bfb-70a0-bb48-4e57f9cfabe8: Hausdorff distance = 70.9 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fc-7598-79c3-b592-3a4b64cc8fc2: Hausdorff distance = 47.6 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fc-ab76-7f40-a095-6d66e3c67769: Hausdorff distance = 56.8 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fc-b9df-7c13-b505-ac9b31019ec4: Hausdorff distance = 89.2 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fc-c146-7961-aa30-c82bd3c236bf: Hausdorff distance = 48.1 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fc-db32-7772-8669-dedd0e996cba: Hausdorff distance = 26.5 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fc-dc54-7392-977a-76c1866ace13: Hausdorff distance = 70.0 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fc-deff-78e3-8c24-0a0c4f2896d9: Hausdorff distance = 29.1 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fc-e89b-7100-8c32-e387f1b2f331: Hausdorff distance = 29.4 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fc-f429-7f51-81ed-87539f0dd205: Hausdorff distance = 55.8 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fc-fbf6-7fb3-b088-219fc9373f24: Hausdorff distance = 96.2 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fc-fd10-79e0-b759-9652f4e55f13: Hausdorff distance = 54.1 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fd-11ed-7cf3-af4e-bc57d0db8214: Hausdorff distance = 48.3 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fd-2379-7bb2-bbba-85a31bfc592a: Hausdorff distance = 69.9 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fd-3019-7723-ada8-c13c557c1aeb: Hausdorff distance = 32.3 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fd-37d6-78d2-9651-86f23f2f7833: Hausdorff distance = 72.8 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fd-3cd8-7240-81cd-ec9787c9838e: Hausdorff distance = 20.3 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fd-4052-7fd1-9467-9ee193b339de: Hausdorff distance = 64.5 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fd-693b-7b63-abd1-659e5875a378: Hausdorff distance = 62.7 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fd-9263-7bd0-833f-461c7b3c8e90: Hausdorff distance = 73.4 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fd-9d97-7241-883f-8dc672cef8bc: Hausdorff distance = 82.0 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fd-a48a-7f73-86ce-463ab5f326b3: Hausdorff distance = 94.6 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fd-b520-7650-9860-b5bb2827cbb2: Hausdorff distance = 52.8 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fd-cfd1-7293-a908-6271619b537f: Hausdorff distance = 77.0 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-134d-7e20-aebd-e49cd353b5e9: Hausdorff distance = 70.0 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-19ae-7d91-9f33-708a8cc5b18d: Hausdorff distance = 34.2 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-1ce1-76c0-a21c-b766491d763c: Hausdorff distance = 27.5 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-2892-7211-af40-77c4990ea5de: Hausdorff distance = 9.0 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-2c2a-7003-b898-0806afcda0b2: Hausdorff distance = 69.8 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-44ab-7751-8283-23c18a7a5e2b: Hausdorff distance = 70.4 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-721f-7853-aaba-e97957b4d64b: Hausdorff distance = 71.3 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-7252-7da0-bbe4-8c71dbf2622e: Hausdorff distance = 61.0 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-9edd-7101-903f-769b0259158c: Hausdorff distance = 26.6 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-a620-7bd0-a2d0-0864f73853bf: Hausdorff distance = 58.6 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-ac8b-75f3-a674-9ef2a9992525: Hausdorff distance = 77.0 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-b178-7ce0-a637-275c8362a4a4: Hausdorff distance = 62.9 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-ba06-7362-a5f9-1a187b3f5dde: Hausdorff distance = 15.9 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-cde2-7b41-b76b-07bf82e9e001: Hausdorff distance = 69.8 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-dbac-7ef3-bc19-3775eecddaa6: Hausdorff distance = 79.0 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-e23e-7e43-87f6-f43210d49d91: Hausdorff distance = 57.7 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-f663-75b3-a52b-b8c4e4b67152: Hausdorff distance = 56.5 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5fe-f9b9-7f11-a9a0-204bc6a51e0f: Hausdorff distance = 51.1 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5ff-09d7-77c2-b83a-074f86574eea: Hausdorff distance = 72.5 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5ff-2535-74a2-8245-d215e93b3174: Hausdorff distance = 60.0 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5ff-2b5b-70b2-8a45-26006431f4fa: Hausdorff distance = 48.7 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5ff-3470-7951-b350-0fe3d6dfa19c: Hausdorff distance = 99.4 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5ff-4c07-73b0-8afc-2f745e38e6a8: Hausdorff distance = 94.8 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5ff-544f-74f2-81bf-8717ef6b7528: Hausdorff distance = 46.8 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5ff-6a8a-7a82-87b3-e631fa0cef63: Hausdorff distance = 32.1 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5ff-7dba-7471-9f6b-e68a2e57fbd0: Hausdorff distance = 54.1 m
Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38 and Vehicle 0195f5ff-847f-7860-824f-6518b23cb1d3: Hausdorff distance = 64.8 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5f9-b741-7383-be09-a255153acaf3: Hausdorff distance = 14.2 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5f9-d6a8-7ba3-a11e-f6dceb49ee43: Hausdorff distance = 85.1 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5f9-df6c-7a10-94cc-cb7a4ebfdb65: Hausdorff distance = 17.4 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-04d1-7ac3-81e5-4e9d71142a32: Hausdorff distance = 94.9 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-0db8-7e83-8d25-96e8f2de1a21: Hausdorff distance = 70.2 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-1bc4-74a0-aa02-50532caf00c9: Hausdorff distance = 73.4 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-2522-78c2-a16c-1fb1d4cfe1dc: Hausdorff distance = 89.5 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-29b1-7702-903d-96642f74b81e: Hausdorff distance = 64.0 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-37ae-7392-a089-f76e4bac6b55: Hausdorff distance = 28.0 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-3b22-7622-bf1e-af6b36e35473: Hausdorff distance = 49.3 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-50a1-7ab1-beb9-2e7ce6834bbf: Hausdorff distance = 48.5 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-5667-7182-8eee-929c23a7d4ec: Hausdorff distance = 18.4 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-8782-7ec2-8005-cf3f267fe106: Hausdorff distance = 91.0 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-a3bb-7fb0-89e0-3b32aeb5e904: Hausdorff distance = 69.4 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-ab9c-78c2-9ee4-2aa17b3d6394: Hausdorff distance = 61.4 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-c65b-7ff2-86a0-709d5bafe477: Hausdorff distance = 82.6 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-e830-7cb3-9dca-03ce328fc342: Hausdorff distance = 69.2 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-e830-7cb3-9dca-03d31c51b8be: Hausdorff distance = 72.9 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-f627-7a23-a7cf-e4b00f43d6df: Hausdorff distance = 61.3 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fa-f8bc-75b0-9680-ee63d2c4bbc8: Hausdorff distance = 76.2 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-01ea-7543-801d-2b808ad249ab: Hausdorff distance = 70.2 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-020f-7401-a4b6-c2d7148077fb: Hausdorff distance = 76.1 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-072e-7900-b968-f0f9793e3a08: Hausdorff distance = 70.2 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-08b7-7c41-95af-9146a1936af6: Hausdorff distance = 81.2 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-0df6-7112-87e1-004a8647d30f: Hausdorff distance = 26.5 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-141f-7c32-ba1f-05448ec27564: Hausdorff distance = 18.3 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-17b2-7f41-9d26-72ef6fcb3d3f: Hausdorff distance = 28.2 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-2cbf-7e42-a4d3-24e16e0bdcbf: Hausdorff distance = 70.8 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-6d0f-7211-b75e-6648525c667d: Hausdorff distance = 69.7 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-76bd-71a3-9825-087b40a99587: Hausdorff distance = 47.7 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-7dd5-7ed3-a325-de5fa3ecd3f0: Hausdorff distance = 48.0 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-80d9-7df0-be45-239f584719b6: Hausdorff distance = 47.2 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-80e8-7593-b54b-5f81ef2c5c3d: Hausdorff distance = 60.6 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-8505-7723-ade2-98dd335b1ec1: Hausdorff distance = 61.0 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-8629-74a2-bba0-1720752abad3: Hausdorff distance = 94.9 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-e390-7ed2-a9aa-067aead1d486: Hausdorff distance = 12.0 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fb-fd9b-7a60-8a85-4ba4f7dcff12: Hausdorff distance = 58.0 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fc-00c5-7b50-8b40-6f401c35634b: Hausdorff distance = 61.5 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fc-262d-7401-a63d-0b0d37e41abc: Hausdorff distance = 21.5 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fc-62f3-7712-8851-73635a228fe3: Hausdorff distance = 5.1 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fc-6bfb-70a0-bb48-4e57f9cfabe8: Hausdorff distance = 70.8 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fc-7598-79c3-b592-3a4b64cc8fc2: Hausdorff distance = 83.8 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fc-ab76-7f40-a095-6d66e3c67769: Hausdorff distance = 84.5 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fc-b9df-7c13-b505-ac9b31019ec4: Hausdorff distance = 82.7 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fc-c146-7961-aa30-c82bd3c236bf: Hausdorff distance = 59.2 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fc-db32-7772-8669-dedd0e996cba: Hausdorff distance = 48.0 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fc-dc54-7392-977a-76c1866ace13: Hausdorff distance = 77.6 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fc-deff-78e3-8c24-0a0c4f2896d9: Hausdorff distance = 61.0 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fc-e89b-7100-8c32-e387f1b2f331: Hausdorff distance = 61.6 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fc-f429-7f51-81ed-87539f0dd205: Hausdorff distance = 5.4 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fc-fbf6-7fb3-b088-219fc9373f24: Hausdorff distance = 35.4 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fc-fd10-79e0-b759-9652f4e55f13: Hausdorff distance = 46.1 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fd-11ed-7cf3-af4e-bc57d0db8214: Hausdorff distance = 59.0 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fd-2379-7bb2-bbba-85a31bfc592a: Hausdorff distance = 82.4 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fd-3019-7723-ada8-c13c557c1aeb: Hausdorff distance = 61.0 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fd-37d6-78d2-9651-86f23f2f7833: Hausdorff distance = 68.9 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fd-3cd8-7240-81cd-ec9787c9838e: Hausdorff distance = 61.1 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fd-4052-7fd1-9467-9ee193b339de: Hausdorff distance = 60.3 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fd-693b-7b63-abd1-659e5875a378: Hausdorff distance = 51.7 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fd-9263-7bd0-833f-461c7b3c8e90: Hausdorff distance = 62.8 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fd-9d97-7241-883f-8dc672cef8bc: Hausdorff distance = 73.9 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fd-a48a-7f73-86ce-463ab5f326b3: Hausdorff distance = 33.6 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fd-b520-7650-9860-b5bb2827cbb2: Hausdorff distance = 91.0 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fd-cfd1-7293-a908-6271619b537f: Hausdorff distance = 81.4 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-134d-7e20-aebd-e49cd353b5e9: Hausdorff distance = 66.5 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-19ae-7d91-9f33-708a8cc5b18d: Hausdorff distance = 60.9 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-1ce1-76c0-a21c-b766491d763c: Hausdorff distance = 61.2 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-2892-7211-af40-77c4990ea5de: Hausdorff distance = 60.8 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-2c2a-7003-b898-0806afcda0b2: Hausdorff distance = 77.6 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-44ab-7751-8283-23c18a7a5e2b: Hausdorff distance = 72.3 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-721f-7853-aaba-e97957b4d64b: Hausdorff distance = 49.0 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-7252-7da0-bbe4-8c71dbf2622e: Hausdorff distance = 67.9 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-9edd-7101-903f-769b0259158c: Hausdorff distance = 48.2 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-a620-7bd0-a2d0-0864f73853bf: Hausdorff distance = 13.6 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-ac8b-75f3-a674-9ef2a9992525: Hausdorff distance = 84.4 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-b178-7ce0-a637-275c8362a4a4: Hausdorff distance = 10.1 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-ba06-7362-a5f9-1a187b3f5dde: Hausdorff distance = 60.8 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-cde2-7b41-b76b-07bf82e9e001: Hausdorff distance = 71.3 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-dbac-7ef3-bc19-3775eecddaa6: Hausdorff distance = 67.4 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-e23e-7e43-87f6-f43210d49d91: Hausdorff distance = 49.4 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-f663-75b3-a52b-b8c4e4b67152: Hausdorff distance = 48.7 m
Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6 and Vehicle 0195f5fe-f9b9-7f11-a9a0-204bc6a51e0f: Hausdorff distance = 56.2 m
